Year_Week,year,week,location,vegetable_type,farmer_price
2013-w1,2013,w1,Anuradhapura,ASH PLANTAINS,
2013-w2,2013,w2,Anuradhapura,ASH PLANTAINS,
2013-w3,2013,w3,Anuradhapura,ASH PLANTAINS,
2013-w4,2013,w4,Anuradhapura,ASH PLANTAINS,
2013-w5,2013,w5,Anuradhapura,ASH PLANTAINS,
2013-w6,2013,w6,Anuradhapura,ASH PLANTAINS,
2013-w7,2013,w7,Anuradhapura,ASH PLANTAINS,
2013-w8,2013,w8,Anuradhapura,ASH PLANTAINS,
2013-w9,2013,w9,Anuradhapura,ASH PLANTAINS,
2013-w10,2013,w10,Anuradhapura,ASH PLANTAINS,
2013-w11,2013,w11,Anuradhapura,ASH PLANTAINS,
2013-w12,2013,w12,Anuradhapura,ASH PLANTAINS,
2013-w13,2013,w13,Anuradhapura,ASH PLANTAINS,
2013-w14,2013,w14,Anuradhapura,ASH PLANTAINS,
2013-w15,2013,w15,Anuradhapura,ASH PLANTAINS,
2013-w16,2013,w16,Anuradhapura,ASH PLANTAINS,
2013-w17,2013,w17,Anuradhapura,ASH PLANTAINS,
2013-w18,2013,w18,Anuradhapura,ASH PLANTAINS,
2013-w19,2013,w19,Anuradhapura,ASH PLANTAINS,
2013-w20,2013,w20,Anuradhapura,ASH PLANTAINS,
2013-w21,2013,w21,Anuradhapura,ASH PLANTAINS,
2013-w22,2013,w22,Anuradhapura,ASH PLANTAINS,
2013-w23,2013,w23,Anuradhapura,ASH PLANTAINS,
2013-w24,2013,w24,Anuradhapura,ASH PLANTAINS,
2013-w25,2013,w25,Anuradhapura,ASH PLANTAINS,
2013-w26,2013,w26,Anuradhapura,ASH PLANTAINS,
2013-w27,2013,w27,Anuradhapura,ASH PLANTAINS,
2013-w28,2013,w28,Anuradhapura,ASH PLANTAINS,
2013-w29,2013,w29,Anuradhapura,ASH PLANTAINS,
2013-w30,2013,w30,Anuradhapura,ASH PLANTAINS,
2013-w31,2013,w31,Anuradhapura,ASH PLANTAINS,
2013-w32,2013,w32,Anuradhapura,ASH PLANTAINS,
2013-w33,2013,w33,Anuradhapura,ASH PLANTAINS,
2013-w34,2013,w34,Anuradhapura,ASH PLANTAINS,
2013-w35,2013,w35,Anuradhapura,ASH PLANTAINS,
2013-w36,2013,w36,Anuradhapura,ASH PLANTAINS,
2013-w37,2013,w37,Anuradhapura,ASH PLANTAINS,
2013-w38,2013,w38,Anuradhapura,ASH PLANTAINS,
2013-w39,2013,w39,Anuradhapura,ASH PLANTAINS,
2013-w40,2013,w40,Anuradhapura,ASH PLANTAINS,
2013-w41,2013,w41,Anuradhapura,ASH PLANTAINS,
2013-w42,2013,w42,Anuradhapura,ASH PLANTAINS,
2013-w43,2013,w43,Anuradhapura,ASH PLANTAINS,
2013-w44,2013,w44,Anuradhapura,ASH PLANTAINS,
2013-w45,2013,w45,Anuradhapura,ASH PLANTAINS,
2013-w46,2013,w46,Anuradhapura,ASH PLANTAINS,
2013-w47,2013,w47,Anuradhapura,ASH PLANTAINS,
2013-w48,2013,w48,Anuradhapura,ASH PLANTAINS,
2013-w49,2013,w49,Anuradhapura,ASH PLANTAINS,37.50
2013-w50,2013,w50,Anuradhapura,ASH PLANTAINS,37.50
2013-w51,2013,w51,Anuradhapura,ASH PLANTAINS,37.50
2013-w52,2013,w52,Anuradhapura,ASH PLANTAINS,42.50
2014-w1,2014,w1,Anuradhapura,ASH PLANTAINS,32.50
2014-w2,2014,w2,Anuradhapura,ASH PLANTAINS,32.50
2014-w3,2014,w3,Anuradhapura,ASH PLANTAINS,32.50
2014-w4,2014,w4,Anuradhapura,ASH PLANTAINS,
2014-w5,2014,w5,Anuradhapura,ASH PLANTAINS,
2014-w6,2014,w6,Anuradhapura,ASH PLANTAINS,
2014-w7,2014,w7,Anuradhapura,ASH PLANTAINS,
2014-w8,2014,w8,Anuradhapura,ASH PLANTAINS,
2014-w9,2014,w9,Anuradhapura,ASH PLANTAINS,
2014-w10,2014,w10,Anuradhapura,ASH PLANTAINS,
2014-w11,2014,w11,Anuradhapura,ASH PLANTAINS,
2014-w12,2014,w12,Anuradhapura,ASH PLANTAINS,
2014-w13,2014,w13,Anuradhapura,ASH PLANTAINS,
2014-w14,2014,w14,Anuradhapura,ASH PLANTAINS,
2014-w15,2014,w15,Anuradhapura,ASH PLANTAINS,
2014-w16,2014,w16,Anuradhapura,ASH PLANTAINS,
2014-w17,2014,w17,Anuradhapura,ASH PLANTAINS,
2014-w18,2014,w18,Anuradhapura,ASH PLANTAINS,
2014-w19,2014,w19,Anuradhapura,ASH PLANTAINS,
2014-w20,2014,w20,Anuradhapura,ASH PLANTAINS,
2014-w21,2014,w21,Anuradhapura,ASH PLANTAINS,
2014-w22,2014,w22,Anuradhapura,ASH PLANTAINS,
2014-w23,2014,w23,Anuradhapura,ASH PLANTAINS,
2014-w24,2014,w24,Anuradhapura,ASH PLANTAINS,
2014-w25,2014,w25,Anuradhapura,ASH PLANTAINS,
2014-w26,2014,w26,Anuradhapura,ASH PLANTAINS,
2014-w27,2014,w27,Anuradhapura,ASH PLANTAINS,
2014-w28,2014,w28,Anuradhapura,ASH PLANTAINS,
2014-w29,2014,w29,Anuradhapura,ASH PLANTAINS,36.50
2014-w30,2014,w30,Anuradhapura,ASH PLANTAINS,36.50
2014-w31,2014,w31,Anuradhapura,ASH PLANTAINS,32.50
2014-w32,2014,w32,Anuradhapura,ASH PLANTAINS,
2014-w33,2014,w33,Anuradhapura,ASH PLANTAINS,
